gene_anno,DFB_A,DFB_B,Fe_A,Fe_B
scaffold_10459_c1_7_ExbD-family,6.38E-05,4.07E-05,0.000116004,0.000153154
scaffold_10459_c1_9_ExbB-family,7.85E-05,0.000233832,4.76E-05,0.000139565
scaffold_104640_c1_3_ExbB-family,0.000583624,0.000592348,0.000326531,0.000590767
scaffold_1048727_c1_1_PF04773_FecR,0.000126705,3.24E-05,0.000115196,0.000148707
scaffold_10488_c1_5_ExbD-family,0.000417697,0.000847078,0.000290403,0.001127268
scaffold_10488_c1_6_ExbD-family,0.000251244,0.001131263,0.000336624,0.000395044
scaffold_10488_c1_8_ExbB-family,0.000965533,0.001713197,0.000649825,0.001190728
scaffold_1050134_c1_1_PF00210-Ferritin_like_domain,0.000154273,0.000281409,0.000260483,0.000235145
scaffold_105067_c1_3_ExbD-family,5.27E-05,0.000235527,0.000383319,0.000112461
scaffold_105067_c1_4_ExbB-family,0.000360042,0.000436741,0.000736513,0.000268904
scaffold_1051328_c1_1_PF00210-Ferritin_like_domain,7.82E-05,0.000174746,0.000373272,0.000250316
scaffold_1051639_c1_2_PF00210-Ferritin_like_domain,0.000824256,0.005819532,0.00209388,0.001758888
scaffold_10523_c1_4_YfeA-family-iron-binding-proteins,0.00160272,0.001221001,0.000563266,0.00070413
scaffold_10523_c1_5_YfeB-family-membrane-proteins,0.000487813,0.001056999,0.00029567,0.00072551
scaffold_105346_c1_5_PF04773_FecR,0.000233353,0.000173811,8.84E-05,2.07E-05
scaffold_1053510_c1_3_ExbB-family,0.0001742,0,0.000316755,0.000139398
scaffold_105369_c1_1_ExbB-family,0.000155847,0.000132664,0.000802916,0.000665126
scaffold_105369_c1_2_ExbB-family,0.000109093,0.000116081,0.000181837,0.000290993
scaffold_105369_c1_3_ExbD-family,0.00016043,0.000204849,0.000218788,0.000484988
scaffold_1054591_c1_2_ExbB-family,6.32E-05,0.000343196,0.000201242,0.000118084
scaffold_105869_c1_2_Sid_PchR_pyochelin_regulator_Pseudomonas_aeruginosa_PA4227_180623,0.000330584,0.000655003,0.000114004,0.000340556
scaffold_105952_c1_2_PF04773_FecR,0.00026554,0.000376734,1.34E-05,0.00014166
scaffold_105961_c1_3_PF01475-Iron_dependent_repressor-fur_family,0.000665824,0.000261591,0.001001151,0.000901667
scaffold_105997_c1_1_YfeA-family-iron-binding-proteins,0.000305154,0.000373408,0.000184958,0.000162793
scaffold_105997_c1_2_YfeB-family-membrane-proteins,0.000190057,0.000275035,0.000230392,0.000108151
scaffold_10635_c1_5_ExbB-family,3.29E-05,0.000105051,0.000119679,0.000175561
scaffold_10635_c1_7_PirA-family-siderophore-receptor,0.002056198,0.002678982,0.002025219,0.002579829
scaffold_1064761_c1_1_PF04773_FecR,0.00011618,0,8.45E-05,7.44E-05
scaffold_1070233_c1_1_Sid_PchR_pyochelin_regulator_Pseudomonas_aeruginosa_PA4227_180623,0.000197453,0.000294142,0.000239358,3.51E-05
scaffold_107095_c1_1_ExbB-family,0,0.000147405,5.25E-05,9.24E-05
scaffold_107126_c1_2_PF00210-Ferritin_like_domain,0.002531903,0.003666861,0.002719057,0.001468561
scaffold_1074236_c1_1_PF04773_FecR,0.000217461,0.000185113,0.000263611,0.0001289
scaffold_107430_c1_2_PF04773_FecR,2.60E-05,0,5.91E-05,5.55E-05
scaffold_1075066_c1_1_PF01475-Iron_dependent_repressor-fur_family,0.000732517,0.00086852,0.000665982,0.000446607
scaffold_1076875_c1_2_PF01475-Iron_dependent_repressor-fur_family,0.000264905,0.00027675,0.000153264,0.000154168
scaffold_107873_c1_4_PF01475-Iron_dependent_repressor-fur_family,0.000372967,0.000803638,0.000169545,0.000671521
scaffold_1079315_c1_1_Sid_PvdS_regulator_Paeruginosa_PA2426_180620,0.000180021,9.19E-05,0.000130936,0.000268904
scaffold_107970_c1_1_PF00210-Ferritin_like_domain,8.46E-05,0.000377938,0.000442098,0.000969975
scaffold_1081_c1_3_Sid_PvdS_regulator_Paeruginosa_PA2426_180620,0.000356512,0.000477981,0.000534815,0.001236243
scaffold_1085285_c1_2_PF01475-Iron_dependent_repressor-fur_family,0.000149442,0.000699667,0.000883143,0.000558068
scaffold_108884_c1_1_ExbB-family,0.000919555,0.000880615,0.000684026,0.000802738
scaffold_108884_c1_2_ExbD-family,0.000167835,0.000178586,0.000406908,0.000417835
scaffold_108884_c1_3_ExbD-family,2.82E-05,0,0.000384433,0.00018046
scaffold_109062_c1_1_PF01475-Iron_dependent_repressor-fur_family,0.00145457,0.001547748,0.000881634,0.00083346
scaffold_1097408_c1_1_PF04773_FecR,0,0.000346736,9.66E-05,1.26E-05
scaffold_109881_c1_1_ExbB-family,0.000372967,0.000374181,0.000254317,0.000710605
scaffold_109881_c1_3_ExbD-family,0.000121214,0.00024764,0.000242449,0.000103464
scaffold_109881_c1_4_ExbD-family,4.16E-05,0,7.56E-05,0.000332563
scaffold_11003_c1_4_ExbD-family,0.001888143,0.003422904,0.005489018,0.004451937
scaffold_11003_c1_5_ExbD-family,0.001577021,0.003269223,0.005279681,0.006116782
scaffold_11003_c1_7_ExbB-family,0.005059372,0.007503213,0.013080761,0.009868443
scaffold_1100906_c1_1_Sid_PchR_pyochelin_regulator_Pseudomonas_aeruginosa_PA4227_180623,0.000225056,0.000317616,0.000172306,0.000126381
scaffold_1103215_c1_1_ExbB-family,0.000691085,0.001050508,0.001316467,0.000930474
scaffold_1104358_c1_1_YfeA-family-iron-binding-proteins,0.000332361,0.000199709,0.000195524,4.17E-05
scaffold_110477_c1_2_Sid_PvdS_regulator_Paeruginosa_PA2426_180620,0.000338687,0.000432459,0.000680673,0.000323325
scaffold_1107500_c1_1_PF04773_FecR,0.000396046,6.13E-05,0.000120024,0.000153659
scaffold_111146_c1_3_TonB-family,7.27E-05,0.000139297,0.000297551,0.000174596
scaffold_111188_c1_3_ExbB-family,0.000105186,0.000153496,0.000109293,6.41E-05
scaffold_111277_c1_2_PF01475-Iron_dependent_repressor-fur_family,0.000247938,0.000422113,0.000651207,0.001087548
scaffold_11134_c1_5_PF00210-Ferritin_like_domain,0.00050056,0.000601554,0.001164506,0.001178107
scaffold_11136_c1_2_PF04773_FecR,4.49E-05,0.000152864,0.000136055,6.39E-05
scaffold_1114248_c1_2_PF04773_FecR,0.000550534,0.000554969,0.000540045,0.000649226
scaffold_111471_c1_1_PF02742-Iron_dependent_repressor-dtxR_family_metal_binding_domain,0.000202024,4.30E-05,0.000122449,0.000323325
scaffold_11169_c1_5_PF04773_FecR,0.000596135,0.000405967,0.000487789,0.000731457
scaffold_111738_c1_3_YfeA-family-iron-binding-proteins,0.000327504,0.001759241,0.001180759,0.000518123
scaffold_11185_c1_7_Sid_PchR_pyochelin_regulator_Pseudomonas_aeruginosa_PA4227_180623,0.00023282,0.000240656,0.000473744,0.000366698
scaffold_1119941_c1_2_PF01475-Iron_dependent_repressor-fur_family,0.00029326,0.000561683,0.000399935,0.000500632
scaffold_112_c1_25_TonB-family,0.002341045,0.002829788,0.005093989,0.005395227
scaffold_112_c1_26_ExbD-family,0.005164776,0.006897572,0.009439231,0.012314467
scaffold_112_c1_27_ExbD-family,0.006179186,0.009216665,0.013274222,0.015111192
scaffold_112_c1_28_ExbB-family,0.01209741,0.020113061,0.016448797,0.019303466
scaffold_112164_c1_5_PF00210-Ferritin_like_domain,0.002140187,0.002926211,0.011468126,0.010427233
scaffold_112260_c1_3_PF00210-Ferritin_like_domain,0.000139862,0.002887145,0.001864994,0.000671521
scaffold_112714_c1_3_PF01475-Iron_dependent_repressor-fur_family,0.000330584,0.000668346,0.000676253,0.001058155
scaffold_112849_c1_3_ExbD-family,0.000290914,0.00024764,0.000132245,0.000310392
scaffold_112849_c1_4_ExbB-family,0,0.000402999,0.000187139,8.78E-05
scaffold_11362_c1_3_TonB-family,3.62E-05,0,0.000592142,0.00057909
scaffold_11362_c1_4_ExbD-family,0,0,9.65E-05,0.000226564
scaffold_11362_c1_5_ExbB-family,0.000168158,2.68E-05,0.00034399,0.000201845
scaffold_11362_c1_6_ExbB-family,6.00E-05,0.000210621,0.000320388,0.000471988
scaffold_1137711_c1_1_PF01475-Iron_dependent_repressor-fur_family,0.000375373,0.000209695,0.000170639,0.000725917
scaffold_1138245_c1_3_PF00210-Ferritin_like_domain,0,0.000179738,0.000341278,0.00092617
scaffold_114_c1_26_PF00210-Ferritin_like_domain,0.000765563,0.001099716,0.000217508,0.000536039
scaffold_114174_c1_1_ExbB-family,2.63E-05,0.00031849,4.77E-05,0.000126062
scaffold_114174_c1_3_ExbD-family,3.19E-05,8.15E-05,0.000275511,0.000170171
scaffold_114174_c1_4_ExbD-family,0,0.000111215,0.000257363,0.000371727
scaffold_11426_c1_3_ExbB-family,1.68E-05,0.000492141,0.000929372,0.000554272
scaffold_11426_c1_4_ExbD-family,4.24E-05,0.000180671,0.00158231,0.000347228
scaffold_11426_c1_5_ExbD-family,0.000181821,0,0.000479388,0.00038799
scaffold_114284_c1_1_ExbD-family,7.04E-05,5.99E-05,0.000127979,0.000350443
scaffold_114284_c1_2_ExbD-family,3.60E-05,0.000183891,0.000310972,0.000268904
scaffold_114284_c1_4_ExbB-family,0.00029714,0.000975623,0.000681808,0.000754844
scaffold_114428_c1_2_Sid_PvdS_regulator_Paeruginosa_PA2426_180620,0.000631679,0.000959168,0.00045013,0.000327879
scaffold_1145418_c1_2_PF00210-Ferritin_like_domain,0.000363642,0.000397992,0.000472304,0.000277136
scaffold_1148140_c1_2_ExbB-family,0.000308172,7.87E-05,0.00028018,0.000115082
scaffold_11521_c1_3_Sid_PchR_pyochelin_regulator_Pseudomonas_aeruginosa_PA4227_180623,0.000724828,0.000392166,0.000647822,0.000340802
scaffold_115901_c1_3_Sid_PvdS_regulator_Paeruginosa_PA2426_180620,0.000563937,0.000844226,0.001113829,0.00089217
scaffold_115943_c1_3_ExbB-family,0.000616893,0.001368099,0.001166,0.001160506
scaffold_1161549_c1_1_PF04773_FecR,0.000109458,6.21E-05,9.95E-05,9.08E-05
scaffold_1163908_c1_2_PF00210-Ferritin_like_domain,0,0,0.000129652,0.000329665
scaffold_1165342_c1_1_ExbB-family,0.000139862,0.000178586,0.000974883,0.000198969
scaffold_1165342_c1_3_ExbD-family,6.61E-05,4.22E-05,0.000360668,7.05E-05
scaffold_11662_c1_7_ExbB-family,0.00021785,0.000213974,0.000152356,0.000286076
scaffold_116693_c1_4_ExbB-family,0.000166237,0.000318394,0.000170029,0.000221709
scaffold_116693_c1_5_ExbB-family,0.000135687,0.000571743,0.000468779,0.000984452
scaffold_11681_c1_5_ExbB-family,0.000113133,0.000227003,2.94E-05,0.000206928
scaffold_1169883_c1_1_PF00210-Ferritin_like_domain,0.000445276,0.000315867,0.000517285,0.000316727
scaffold_117241_c1_2_EfeO-family-iron-uptake,0.000326024,0.000256179,6.84E-05,0.000120411
scaffold_117241_c1_3_FutA1-family-iron-binding-proteins,0.000505657,0.000508284,5.87E-05,9.18E-05
scaffold_117546_c1_3_YfeB-family-membrane-proteins,0.000254691,0.000469745,0.000527437,0.00024155
scaffold_117546_c1_4_YfeA-family-iron-binding-proteins,0.000108013,0.000459727,0.000180037,7.68E-05
scaffold_117730_c1_2_ExbD-family,0.000293624,0.0002884,0.00012321,0.000313284
scaffold_117730_c1_3_ExbD-family,8.74E-05,0.000111616,7.95E-05,0.000447681
scaffold_117730_c1_5_ExbB-family,0.005111337,0.006948631,0.00591866,0.006484589
scaffold_11781_c1_11_Sid_PchR_pyochelin_regulator_Pseudomonas_aeruginosa_PA4227_180623,0.000773969,0.000439226,0.000502621,0.000445664
scaffold_117895_c1_2_ExbD-family,0.000119227,0.000253729,7.23E-05,8.48E-05
scaffold_117895_c1_4_ExbB-family,0.000515399,3.66E-05,0.000260325,0.00038188
scaffold_1180453_c1_2_PF00210-Ferritin_like_domain,4.78E-05,0.000733144,0.001239797,0.002144156
scaffold_118269_c1_1_Sid_PchR_pyochelin_regulator_Pseudomonas_aeruginosa_PA4227_180623,8.66E-05,0.000252694,0.000236152,0.000290333
scaffold_11857_c1_3_PF00210-Ferritin_like_domain,0.000395801,0.00018952,0.000764682,0.000448696
scaffold_118584_c1_2_PF04773_FecR,0.000716589,0.000382385,0.000213926,0.00061622
scaffold_1186948_c1_2_PF00210-Ferritin_like_domain,0.000279725,0.001250104,0.000317897,0.000472552
scaffold_119275_c1_2_PF01475-Iron_dependent_repressor-fur_family,0.001512965,0.001321799,0.001520336,0.001642586
scaffold_11952_c1_2_ExbB-family,0.001224324,0.001026647,0.000946981,0.000799377
scaffold_11952_c1_3_TonB-family,0.001117616,0.00178914,0.000773452,0.001388221
scaffold_119722_c1_1_ExbB-family,0.000254629,0.000447052,0.00024597,0.000390537
scaffold_119722_c1_2_ExbB-family,0.000145457,0.000344927,0.000188922,4.43E-05
scaffold_11983_c1_5_Sid_PchR_pyochelin_regulator_Pseudomonas_aeruginosa_PA4227_180623,5.96E-05,0.000152238,5.42E-05,0.000106008
scaffold_11987_c1_3_PF04773_FecR,8.99E-05,8.83E-05,3.77E-05,5.90E-05
scaffold_1199038_c1_1_Sid_PvdS_regulator_Paeruginosa_PA2426_180620,0.00079614,0.000714345,0.000841204,0.00045916
scaffold_119975_c1_1_ExbB-family,0.000199941,0.000351036,0.000511257,0
scaffold_1200255_c1_1_PF01475-Iron_dependent_repressor-fur_family,0.000221134,0.000313733,0.000446774,0.000131078
scaffold_1201591_c1_3_PF00210-Ferritin_like_domain,9.51E-05,0.00121392,0.000734695,0.000735406
scaffold_1205205_c1_1_Sid_PvdS_regulator_Paeruginosa_PA2426_180620,0.000620331,0.000737456,0.000525091,0.000661865
scaffold_120582_c1_3_YfeA-family-iron-binding-proteins,0.000420539,0.000600147,0.000314869,0.000580665
scaffold_120656_c1_1_YfeA-family-iron-binding-proteins,0.000289947,0.000725025,0.000428369,0.0001289
scaffold_120656_c1_2_YfeB-family-membrane-proteins,2.44E-05,9.35E-05,0.00017751,5.21E-05
scaffold_12066_c1_7_YfeB-family-membrane-proteins,7.60E-05,0.00011325,0.000357108,0.00033797
scaffold_12066_c1_8_YfeA-family-iron-binding-proteins,0.000306686,0.000503484,0.000378412,0.000303848
scaffold_12074_c1_4_ExbB-family,0.002809254,0.002879608,0.003128759,0.003796641
scaffold_12074_c1_5_ExbB-family,0.001122096,0.001538904,0.001511372,0.001507619
scaffold_12074_c1_6_ExbD-family,0.000371605,0.000982876,0.001085954,0.001444343
scaffold_12074_c1_7_TonB-family,0.000575767,0.000174122,0.000619899,0.000792146
scaffold_1207867_c1_1_PF00210-Ferritin_like_domain,0,0,0.001060456,0.000780861
scaffold_1210842_c1_1_PF04773_FecR,0.000664347,0.000602729,0.000349686,0.000335761
scaffold_121226_c1_1_PF04773_FecR,4.14E-05,1.98E-05,8.95E-05,4.42E-05
scaffold_121720_c1_5_PF00210-Ferritin_like_domain,0.000451863,0.000384647,0.001193336,0.00137748
scaffold_121721_c1_2_TonB-family,0.000139862,0.000277801,0.000466249,0.000248712
scaffold_121721_c1_3_ExbD-family,0.000106173,0.000474492,0.000482646,0.000906254
scaffold_121721_c1_4_ExbB-family,0.000123269,0.000236097,0.000130751,0.000306885
scaffold_121721_c1_5_ExbB-family,0.000457563,0.000737999,0.000459792,0.000668062
scaffold_121801_c1_2_HatD-family-substrate-binding-protein,0.000139862,5.95E-05,6.36E-05,7.46E-05
scaffold_12186_c1_1_Sid_PvdS_regulator_Paeruginosa_PA2426_180620,0.000346326,0.000525129,0.000393586,0.000254041
scaffold_1219707_c1_1_PF00210-Ferritin_like_domain,7.37E-05,0.000219613,0.001898789,0.000865113
scaffold_1220737_c1_1_PF04773_FecR,0.000301987,0.000353465,0.000240238,0.000134253
scaffold_1221050_c1_1_Sid_PvdS_regulator_Paeruginosa_PA2426_180620,0.000221508,0.000117849,0.000201388,0.00011817
scaffold_12212_c1_6_PF01475-Iron_dependent_repressor-fur_family,0.000174548,0.000445751,0.000767021,0.000838059
scaffold_12222_c1_5_PF02742-Iron_dependent_repressor-dtxR_family_metal_binding_domain,5.12E-05,0.000364359,0.001004477,0.001030477
scaffold_122430_c1_2_ExbB-family,0.003037013,0.003852362,0.005249838,0.004881853
scaffold_122430_c1_3_ExbD-family,0.003417692,0.002932575,0.004027011,0.004755066
scaffold_122430_c1_4_TonB-family,0.002251119,0.003095496,0.003105755,0.003577571
scaffold_122548_c1_4_ExbB-family,5.47E-05,0.000139646,0.00012429,0.000233377
scaffold_1226276_c1_1_PF00210-Ferritin_like_domain,0.000139862,0.000535759,0.001801415,0.001492269
scaffold_122763_c1_3_ExbB-family,2.64E-05,0.000101307,0.000300557,9.88E-05
scaffold_122868_c1_1_ExbB-family,0.000153849,0,0.000127159,0.000179072
scaffold_122906_c1_3_PF00210-Ferritin_like_domain,0.000401261,0.00054438,0.000547221,0.000668948
scaffold_1229767_c1_1_PF00210-Ferritin_like_domain,0.000129872,0.001022619,0.001259477,2.31E-05
scaffold_122982_c1_2_PF04773_FecR,0.000118511,1.59E-05,0.000113418,3.99E-05
scaffold_1230_c1_13_ExbD-family,0.000300945,0.000192134,0.000182407,0
scaffold_1230_c1_14_ExbB-family,0.000255188,0.000203651,0.000217508,0.000170171
scaffold_123101_c1_1_ExbB-family,0.000765563,0.001571022,0.001093756,0.001225232
scaffold_123101_c1_3_ExbD-family,0.000600186,0.00049588,0.000609868,0.000941723
scaffold_123101_c1_4_ExbD-family,0.000851568,0.000911016,0.000585896,0.000957697
scaffold_123209_c1_2_PF00210-Ferritin_like_domain,4.60E-05,5.88E-05,0.001757687,0.00147338
scaffold_12322_c1_1_ExbB-family,0.001745483,0.001919207,0.002468574,0.002552112
scaffold_12322_c1_2_ExbB-family,0.00047793,0.000557189,0.000736794,0.001219397
scaffold_12322_c1_3_ExbD-family,0.000162825,0.000242558,0.000616815,0.001013407
scaffold_12322_c1_4_TonB-family,0.000536805,0.000265328,0.000440817,0.000757504
scaffold_12322_c1_6_PvdT-family-siderophore-export,0.00064078,0.000490916,0.000364111,0.000615315
scaffold_12322_c1_8_PvdT-family-siderophore-export,4.51E-05,0.000149782,0.000278929,0.000375474
scaffold_12330_c1_1_PF04773_FecR,0.000119064,6.97E-05,0.000189437,0.000121743
scaffold_123330_c1_2_PF01475-Iron_dependent_repressor-fur_family,0.000286333,0.000511854,0.000650812,0.000702659
scaffold_123335_c1_1_ExbB-family,0.000396701,0.001198801,0.00068527,0.000536132
scaffold_123335_c1_3_ExbD-family,0.00019324,0.000157018,0.000303461,7.50E-05
scaffold_123335_c1_4_ExbD-family,0.000188905,0.000211057,0.000279089,0.000277136
scaffold_123511_c1_3_PF04773_FecR,7.31E-05,0.00011884,1.81E-05,0.000148954
scaffold_1235919_c1_1_ExbB-family,0.000558223,0.000325842,0.000174007,0.00023824
scaffold_1245509_c1_2_PF01475-Iron_dependent_repressor-fur_family,0.000318519,0.000474492,0.000458514,0.000538088
scaffold_1246724_c1_2_PF01475-Iron_dependent_repressor-fur_family,0.001088273,0.000610061,0.000796366,0.001019536
scaffold_1251136_c1_2_ExbB-family,0.000385214,0.000393495,0.000154099,0.000180843
scaffold_125286_c1_2_FutA1-family-iron-binding-proteins,0.002471462,0.001348487,0.000287059,0.000209096
scaffold_125286_c1_3_FbpB-FutB-family-iron-permease,0.000390488,0.000280464,8.88E-05,2.60E-05
scaffold_1253773_c1_2_PF01475-Iron_dependent_repressor-fur_family,0.001698767,0.001762399,0.00125488,0.001755867
scaffold_1255024_c1_2_PF01475-Iron_dependent_repressor-fur_family,5.35E-05,0.000204849,0.000413266,0.000256758
scaffold_1258_c1_14_YfeB-family-membrane-proteins,0.000128043,9.81E-05,3.49E-05,0.000314217
scaffold_1258_c1_15_YfeA-family-iron-binding-proteins,2.41E-05,0.00021525,6.57E-05,7.71E-05
scaffold_125908_c1_1_ExbB-family,0.000202828,7.40E-05,0.000368811,0.000309155
scaffold_125908_c1_3_ExbD-family,0.000157345,4.46E-05,6.36E-05,5.60E-05
scaffold_126015_c1_2_PF04773_FecR,0.000367728,0.00041737,0.000260032,0.000217972
scaffold_126200_c1_3_PF01475-Iron_dependent_repressor-fur_family,0.000544227,0.000126347,0.000157435,5.28E-05
scaffold_126279_c1_2_ExbB-family,0.000300255,0.000170394,0.000985772,0.000498336
scaffold_126279_c1_3_ExbD-family,1.67E-05,6.39E-05,0.000652126,0.000320359
scaffold_126279_c1_4_ExbD-family,0,0.00033166,0.000219284,0.000296931
scaffold_126823_c1_4_ExbB-family,0.000178574,0.000207288,8.86E-05,0.000103926
scaffold_126934_c1_4_Sid_PvdS_regulator_Paeruginosa_PA2426_180620,0.00036547,0.00016333,0.000946981,0.000682395
scaffold_126998_c1_3_YfeA-family-iron-binding-proteins,0,8.99E-05,0.000106649,3.75E-05
scaffold_126998_c1_4_PF02742-Iron_dependent_repressor-dtxR_family_metal_binding_domain,9.87E-05,6.30E-05,0.000164558,8.78E-05
scaffold_127103_c1_2_ExbB-family,0.000117779,0.000357173,0.000829878,0.000455535
scaffold_12728_c1_1_PvdT-family-siderophore-export,0.000365674,0.000350189,0.00011082,0.00037932
scaffold_12728_c1_3_PvdT-family-siderophore-export,0.000368448,0.000286367,0.000742786,0.000444394
scaffold_12728_c1_5_TonB-family,0.000709546,0.001019249,0.001161176,0.001268065
scaffold_12728_c1_6_ExbD-family,0.000841262,0.001108834,0.001356992,0.001853087
scaffold_12728_c1_7_ExbB-family,0.000803137,0.001424308,0.001582073,0.001832837
scaffold_12728_c1_8_ExbB-family,0.002771545,0.002936538,0.00272532,0.003533855
scaffold_1277642_c1_2_PF01475-Iron_dependent_repressor-fur_family,0.000173163,0.000600147,0,0.00047509
scaffold_127793_c1_1_PF04773_FecR,0.000448622,0.00046818,0.000329436,0.000271547
scaffold_127836_c1_3_ExbB-family,0,8.52E-05,0.000379143,0.00062292
scaffold_127836_c1_4_ExbD-family,0,0,0.000446774,0.000377504
scaffold_127836_c1_5_ExbD-family,0,5.07E-05,0.000180663,6.36E-05
scaffold_12797_c1_1_PF01475-Iron_dependent_repressor-fur_family,0.001965024,0.003345443,0.003532011,0.002819555
scaffold_1279886_c1_2_ExbB-family,0.000229324,8.37E-05,0.000253172,0.000192247
scaffold_1280148_c1_1_Sid_PvdS_regulator_Paeruginosa_PA2426_180620,0.00018605,0.000475123,0.000123019,3.61E-05
scaffold_1282617_c1_1_PF04773_FecR,0.00020879,0.00037768,0.000411288,0.000556924
scaffold_128277_c1_2_YfeB-family-membrane-proteins,0.000343986,0.000956885,0.000189879,0.000419449
scaffold_128277_c1_3_YfeA-family-iron-binding-proteins,0.001608921,0.00404196,0.002069302,0.001549169
scaffold_1285177_c1_2_ExbB-family,0.000597768,0.001484142,0.001781383,0.002072824
scaffold_1285456_c1_2_PF00210-Ferritin_like_domain,0.000675025,0.000639489,0.000673104,0.001696004
scaffold_1286480_c1_1_PF01475-Iron_dependent_repressor-fur_family,0.00145457,0.001306987,0.000685715,0.00083346
scaffold_12870_c1_7_PF01475-Iron_dependent_repressor-fur_family,0.000732335,0.000322447,0.000734695,0.00021555
scaffold_12880_c1_10_Sid_PvdS_regulator_Paeruginosa_PA2426_180620,0.000149187,0.00047623,0.000813816,0.000696392
scaffold_12887_c1_4_HmuV-family-ATP-binding-protein,0.00029714,0.000867221,6.43E-05,0.000166066
scaffold_12887_c1_5_FpvE-family-permease,0.000700116,0.001294238,9.50E-06,7.80E-05
scaffold_12887_c1_6_HatD-family-substrate-binding-protein,0.001494421,0.002353425,0.000271736,0.000172735
scaffold_12887_c1_7_PirA-family-siderophore-receptor,0.003005175,0.005910836,0.000132441,0.000184209
scaffold_128908_c1_1_PF01475-Iron_dependent_repressor-fur_family,0.00019956,0.000368062,6.05E-05,0.000212921
