Gene,2.5nM_DFB_A,2.5nM_DFB_B,2.5nM_Fe_A,2.5nM_Fe_B
Ga0401699_0000132_21516_23024_electron_transport_coupled_proton_transport,52.63275744,91.68047481,12.87545358,8.599179776
Ga0401699_0000132_24171_25616_NADH_dehydrogenase_quinone_activity,105.2655149,198.4612631,21.45908931,15.4785236
Ga0401699_0000132_26096_27142_ATP_synthesis_coupled_electron_transport,65.36648908,133.7456338,7.868332746,6.879343821
Ga0401699_0000132_27239_27631_Involved_in_the_binding_of_tRNA_to_the_ribosomes,37.35227948,61.47984781,7.153029769,6.019425843
Ga0401699_0000132_27812_28399_Respiratory-chain_NADH_dehydrogenase__30_Kd_subunit,25.46746328,53.92969106,2.861211908,0.859917978
Ga0401699_0000132_29659_30054_One_of_the_primary_rRNA_binding_proteins__it_binds_directly_to_16S_rRNA_central_domain_where_it_helps_coordinate_assembly_of_the_platform_of_the_30S_subunit,33.10770226,48.53672196,6.437726792,6.019425843
Ga0401699_0000132_4185_4589_Binds_23S_rRNA_and_is_also_seen_to_make_contacts_with_the_A_and_possibly_P_site_tRNAs,65.36648908,69.03000456,8.583635723,8.599179776
Ga0401699_0000132_5021_6052_Cytochrome_C_oxidase_subunit_II__periplasmic_domain,440.5871147,752.8584872,69.38438876,55.03475057
Ga0401699_0000132_6270_7775_Cytochrome_c_oxidase_is_the_component_of_the_respiratory_chain_that_catalyzes_the_reduction_of_oxygen_to_water._Subunits_1-_3_form_the_functional_core_of_the_enzyme_complex._CO_I_is_the_catalytic_subunit_of_the_enzyme._Electrons_originating_in_cytochrome_c_are_transferred_via_the_copper_A_center_of_subunit_2_and_heme_A_of_subunit_1_to_the_bimetallic_center_formed_by_heme_A3_and_copper_B,605.2767106,1054.864757,100.8577197,79.11245394
Ga0401699_0000132_7803_8165_NDH-1_shuttles_electrons_from_NADH__via_FMN_and_iron-_sulfur_Fe-S_centers__to_quinones_in_the_respiratory_chain._The_immediate_electron_acceptor_for_the_enzyme_in_this_species_is_believed_to_be_ubiquinone._Couples_the_redox_reaction_to_proton_translocation_for_every_two_electrons_transferred__four_hydrogen_ions_are_translocated_across_the_cytoplasmic_membrane__and_thus_conserves_the_redox_energy_in_a_proton_gradient,92.53178325,154.2389164,17.16727145,11.17893371
Ga0401699_0000132_8266_9450_Belongs_to_the_complex_I_49_kDa_subunit_family,272.5018571,421.7301841,40.05696671,42.1359809
Ga0401699_0000132_852_2000_Component_of_the_ubiquinol-cytochrome_c_reductase_complex_complex_III_or_cytochrome_b-c1_complex_that_is_part_of_the_mitochondrial_respiratory_chain._The_b-c1_complex_mediates_electron_transfer_from_ubiquinol_to_cytochrome_c._Contributes_to_the_generation_of_a_proton_gradient_across_the_mitochondrial_membrane_that_is_then_used_for_ATP_synthesis,169.7830885,341.9142413,25.75090717,27.51737528
Ga0401699_0000132_9477_10283_Subunits_I__II_and_III_form_the_functional_core_of_the_enzyme_complex,195.2505518,286.9059564,29.32742205,16.33844157
Ga0401699_0000160_68_32098_extracellular_matrix_structural_constituent,225.8115077,218.9545457,25.03560419,38.69630899
Ga0401699_0000165_5_32029_cytoskeletal_protein_binding,293.7247431,149.9245412,0,2.579753933
Ga0401699_0000181_167_30862_semaphorin-plexin_signaling_pathway,170.632004,151.003135,20.02848335,16.33844157
Ga0401699_0000209_2_29419_extracellular_matrix_structural_constituent,350.6020778,331.1283031,55.7936322,68.79343821
Ga0401699_0000216_234_28892_semaphorin-plexin_signaling_pathway,133.2797245,180.1251681,11.44484763,6.879343821
Ga0401699_0000238_263_28306_Cell_wall_formation._Catalyzes_the_addition_of_glutamate_to_the_nucleotide_precursor_UDP-N-acetylmuramoyl-L-alanine_UMA,537.3634752,582.4406635,54.36302624,104.9099933
Ga0401699_0000245_86_27754_,154.5026106,112.1737574,2.145908931,4.299589888
Ga0401699_0000262_198_27458_PA14_domain,1064.539965,1048.393194,52.21711731,67.07360225
Ga0401699_0000290_1_26535_cytoskeletal_protein_binding,450.7741,334.3640846,6.437726792,5.159507865
Ga0401699_0000319_7729_9459_acetolactate_synthase,37.35227948,46.37953431,173.1033204,149.6257281
Ga0401699_0000333_867_25181_,163.8406804,153.1603226,15.02136251,26.65745731
Ga0401699_0000350_314_25021_protein_tyrosine_phosphatase_activity,289.4801659,265.33408,24.32030121,37.83639101
Ga0401699_0000375_23479_24477_Fumarate_reductase_flavoprotein_C-term,398.1413426,175.8107929,1.430605954,2.579753933
Ga0401699_0000380_14_24028_calcium_ion_binding,166.3874268,148.8459473,16.45196847,13.75868764
Ga0401699_0000400_10051_10470_Binds_23S_rRNA_and_is_also_seen_to_make_contacts_with_the_A_and_possibly_P_site_tRNAs,34.80553315,47.45812813,376.2493658,279.4733427
Ga0401699_0000400_11730_12008_Protein_S19_forms_a_complex_with_S13_that_binds_strongly_to_the_16S_ribosomal_RNA,27.16529416,29.12203317,179.5410472,164.2443337
Ga0401699_0000400_4722_5192_One_of_the_primary_rRNA_binding_proteins__it_binds_directly_to_16S_rRNA_where_it_nucleates_assembly_of_the_head_domain_of_the_30S_subunit._Is_located_at_the_subunit_interface_close_to_the_decoding_center__probably_blocks_exit_of_the_E-site_tRNA,17.8272243,33.43640846,347.6372468,390.4027618
Ga0401699_0000400_5919_6251_This_protein_binds_to_23S_rRNA_in_the_presence_of_protein_L20,11.8848162,20.4932826,276.8222521,237.3373618
Ga0401699_0000400_6364_6783_Belongs_to_the_universal_ribosomal_protein_uS9_family,23.76963239,56.0868787,335.4770962,296.6717023
Ga0401699_0000400_6823_7740_DNA-dependent_RNA_polymerase_catalyzes_the_transcription_of_DNA_into_RNA_using_the_four_ribonucleoside_triphosphates_as_substrates,43.29468757,77.65875513,689.5520697,582.1644708
Ga0401699_0000400_7891_8286_Located_on_the_platform_of_the_30S_subunit__it_bridges_several_disparate_RNA_helices_of_the_16S_rRNA._Forms_part_of_the_Shine-Dalgarno_cleft_in_the_70S_ribosome,27.16529416,34.51500228,312.5874009,300.9712922
Ga0401699_0000400_8528_8932_structural_constituent_of_ribosome,30.56095593,64.71562927,423.4593623,382.6635
Ga0401699_0000400_8980_9534_This_is_1_of_the_proteins_that_binds_and_probably_mediates_the_attachment_of_the_5S_RNA_into_the_large_ribosomal_subunit__where_it_forms_part_of_the_central_protuberance._In_the_70S_ribosome_it_contacts_protein_S13_of_the_30S_subunit_bridge_B1b__connecting_the_2_subunits,42.44577213,77.65875513,540.7690505,498.752427
Ga0401699_0000400_9563_9931_Binds_to_23S_rRNA._Forms_part_of_two_intersubunit_bridges_in_the_70S_ribosome,17.8272243,34.51500228,243.2030121,239.0571978
Ga0401699_0000417_235_23499_extracellular_matrix_structural_constituent,297.9693204,328.9711155,55.07832922,61.05417641
Ga0401699_0000420_290_23452_protein_tyrosine_phosphatase_activity,217.3223533,232.9762654,39.34166373,14.61860562
Ga0401699_0000432_16938_17624_Clp_protease,84.04262882,184.4395434,695.2744935,607.1020922
Ga0401699_0000432_17765_18301_Seems_to_be_required_for_the_assembly_of_the_photosystem_I_complex,54.33058833,136.9814153,452.0714814,391.2626798
Ga0401699_0000432_18397_19302_Component_of_the_acetyl_coenzyme_A_carboxylase_ACC_complex._Biotin_carboxylase_BC_catalyzes_the_carboxylation_of_biotin_on_its_carrier_protein_BCCP_and_then_the_CO2_group_is_transferred_by_the_transcarboxylase_to_acetyl-CoA_to_form_malonyl-_CoA,115.4525002,160.7104794,530.0395059,577.8648809
Ga0401699_0000448_197_22789_Domain_found_in_Notch_and_Lin-12,150.2580333,71.1871922,0.715302977,0.859917978
Ga0401699_0000451_2531_5971_DNA-dependent_RNA_polymerase_catalyzes_the_transcription_of_DNA_into_RNA_using_the_four_ribonucleoside_triphosphates_as_substrates,6.791323541,5.392969106,89.41287211,67.07360225
Ga0401699_0000457_17498_20746_Sigma_factor_PP2C-like_phosphatases,21.22288607,43.14375285,92.27408402,65.3537663
Ga0401699_0000457_2474_3145_TIGR02453_family,37.35227948,56.0868787,226.7510437,203.8005607
Ga0401699_0000476_106_3894_,23.76963239,25.88625171,1.430605954,3.43967191
Ga0401699_0000476_3944_22351_,112.9057539,112.1737574,12.16015061,13.75868764
Ga0401699_0000500_2409_2789_Cupin,1.697830885,9.707344391,60.80075304,57.6145045
Ga0401699_0000518_2_21568_HECT_E3_ubiquitin_ligase._Source_PGD,113.7546693,100.3092254,0,0.859917978
Ga0401699_0000521_26_21778_cytoskeletal_protein_binding,94.22961413,71.1871922,0.715302977,0.859917978
Ga0401699_0000534_2_21496_phosphatidylethanolamine_binding,179.1211584,121.8811018,12.87545358,16.33844157
Ga0401699_0000540_115_10512_translation_initiation_factor_activity,39.8990258,19.41468878,2.145908931,3.43967191
Ga0401699_0000560_11272_13419_OmpA_family,24.61854784,65.7942231,97.99650783,104.0500753
Ga0401699_0000582_11_20518_Polycystic_kidney_and_hepatic_disease_1_autosomal,420.2131441,345.1500228,37.91105778,37.83639101
Ga0401699_0000589_17_20803_extracellular_matrix_structural_constituent,153.6536951,97.07344391,6.437726792,17.19835955
Ga0401699_0000594_1139_20674_Transmembrane_protein_family_132,133.2797245,128.3526647,15.02136251,7.739261798
Ga0401699_0000678_159_19598_inner_dynein_arm_assembly,53.48167289,33.43640846,5.007120838,0
Ga0401699_0000690_16281_16772_Low-potential_cytochrome_c_that_plays_a_role_in_the_oxygen-evolving_complex_of_photosystem_II,43.29468757,62.55844163,243.2030121,224.4385921
Ga0401699_0000690_2854_3267_Belongs_to_the_universal_ribosomal_protein_uS9_family,8.489154426,15.1003135,147.3524132,104.9099933
Ga0401699_0000690_5457_6719_protein_transport,36.50336403,42.06515903,349.7831557,367.1849764
Ga0401699_0000690_7240_7782_This_protein_binds_to_the_23S_rRNA__and_is_important_in_its_secondary_structure._It_is_located_near_the_subunit_interface_in_the_base_of_the_L7_L12_stalk__and_near_the_tRNA_binding_site_of_the_peptidyltransferase_center,22.92071695,14.02171968,216.736802,193.481545
Ga0401699_0000733_13_18981_Peptidase_inhibitor_I9,162.1428495,101.3878192,8.583635723,6.879343821
Ga0401699_0000801_126_18653_semaphorin-plexin_signaling_pathway,134.1286399,119.7239142,1.430605954,7.739261798
Ga0401699_0000848_19_18303_,112.0568384,72.26578602,0,0
Ga0401699_0000879_11061_18158_motor_activity,21.22288607,36.67218992,2.145908931,2.579753933
Ga0401699_0000887_31_17871_ig-like__plexins__transcription_factors,204.5886217,161.7890732,25.75090717,12.89876966
Ga0401699_0000909_2820_17780_motor_activity,68.76215085,74.42297367,6.437726792,10.31901573
Ga0401699_0000940_16881_17798_DNA-dependent_RNA_polymerase_catalyzes_the_transcription_of_DNA_into_RNA_using_the_four_ribonucleoside_triphosphates_as_substrates,17.8272243,14.02171968,126.6086269,89.43146967
Ga0401699_0000970_1_17592_Persistent_plexus,147.711287,101.3878192,2.861211908,3.43967191
Ga0401699_0000979_2_17629_semaphorin-plexin_signaling_pathway,87.43829059,88.44469334,3.576514884,8.599179776
Ga0401699_0001063_2_16960_structural_constituent_of_cuticle,123.9416546,99.23063155,17.88257442,14.61860562
Ga0401699_0001072_2_12127_Phage_lysozyme,237.6963239,122.9596956,1.430605954,0
Ga0401699_0001095_3_16931_von_Willebrand_factor_vWF_type_A_domain,216.4734379,105.7021945,0,0.859917978
Ga0401699_0001104_16105_16833_Belongs_to_the_universal_ribosomal_protein_uL3_family,6.791323541,22.65047025,49.35590541,75.67278203
Ga0401699_0001105_332_16870_,98.47419134,70.10859838,13.59075656,5.159507865
Ga0401699_0001140_1387_1872_Ycf66_protein_N-terminus,22.92071695,29.12203317,96.56590188,139.3067124
Ga0401699_0001140_15463_16515_Involved_in_chlorophyll_biosynthesis._Catalyzes_the_insertion_of_magnesium_ion_into_protoporphyrin_IX_to_yield_Mg-_protoporphyrin_IX,58.57516554,135.9028215,217.452105,254.5357214
Ga0401699_0001140_5406_6053_Component_of_the_cytochrome_b6-f_complex__which_mediates_electron_transfer_between_photosystem_II_PSII_and_photosystem_I_PSI__cyclic_electron_flow_around_PSI__and_state_transitions,378.6162874,685.9856703,939.9081116,1035.341245
Ga0401699_0001140_6109_6591_Cytochrome_b6-f_complex_subunit,189.3081437,319.2637711,484.9754183,502.1920989
Ga0401699_0001140_768_1283_Essential_for_the_assembly_of_the_photosystem_I_PSI_complex._May_act_as_a_chaperone-like_factor_to_guide_the_assembly_of_the_PSI_subunits,42.44577213,56.0868787,211.7296812,220.9989202
Ga0401699_0001140_9066_9785_Belongs_to_the_universal_ribosomal_protein_uS2_family,47.53926479,129.4312585,508.5804166,430.8189068
Ga0401699_0001140_9968_10906_Bacterial_regulatory_helix-turn-helix_protein__lysR_family,24.61854784,64.71562927,231.7581645,182.3026112
Ga0401699_0001176_12126_12743_Belongs_to_the_complex_I_subunit_6_family,57.7262501,42.06515903,5.007120838,6.879343821
Ga0401699_0001176_12809_14890_Belongs_to_the_complex_I_75_kDa_subunit_family,169.7830885,201.6970446,16.45196847,11.17893371
Ga0401699_0001176_14905_15918_NDH-1_shuttles_electrons_from_NADH__via_FMN_and_iron-_sulfur_Fe-S_centers__to_quinones_in_the_respiratory_chain._The_immediate_electron_acceptor_for_the_enzyme_in_this_species_is_believed_to_be_ubiquinone._Couples_the_redox_reaction_to_proton_translocation_for_every_two_electrons_transferred__four_hydrogen_ions_are_translocated_across_the_cytoplasmic_membrane__and_thus_conserves_the_redox_energy_in_a_proton_gradient._This_subunit_may_bind_ubiquinone,63.6686582,79.81594277,7.153029769,8.599179776
Ga0401699_0001176_2295_2690_One_of_the_primary_rRNA_binding_proteins__it_binds_directly_to_16S_rRNA_central_domain_where_it_helps_coordinate_assembly_of_the_platform_of_the_30S_subunit,16.12939341,10.78593821,0.715302977,0.859917978
Ga0401699_0001176_465_1139_One_of_the_primary_rRNA_binding_proteins__it_binds_directly_to_16S_rRNA_where_it_nucleates_assembly_of_the_body_of_the_30S_subunit,16.97830885,24.80765789,0.715302977,2.579753933
Ga0401699_0001176_6012_6551_thus_facilitating_recognition_of_the_initiation_point._It_is_needed_to_translate_mRNA_with_a_short_Shine-Dalgarno_SD_purine-rich_sequence,39.05011036,45.30094049,4.291817861,0
Ga0401699_0001176_9956_11971_NADH-Ubiquinone_oxidoreductase_complex_I__chain_5_N-terminus,164.6895959,203.8542322,17.88257442,9.459097753
Ga0401699_0001187_274_16422_Dynein_heavy_chain__N-terminal_region_1,51.783842,57.16547253,3.576514884,3.43967191
Ga0401699_0001189_14036_14590_photosynthesis,14.43156252,19.41468878,82.25984234,73.09302809
Ga0401699_0001253_13551_14375_structural_constituent_of_ribosome,19.52505518,4.314375285,59.37014708,69.65335618
Ga0401699_0001253_15389_16027_Belongs_to_the_universal_ribosomal_protein_uL3_family,16.97830885,6.471562927,53.64772327,90.29138765
Ga0401699_0001253_5942_7198_protein_transport,24.61854784,9.707344391,56.50893517,82.55212585
Ga0401699_0001253_609_1838_Elongation_factor_Tu,64.51757364,37.75078374,151.6442311,214.1195764
Ga0401699_0001267_4860_6725_unfolded_protein_binding,1444.005168,1225.282581,8874.764034,6665.224244
Ga0401699_0001323_782_1192_One_of_the_primary_rRNA_binding_proteins__it_binds_directly_to_16S_rRNA_where_it_nucleates_assembly_of_the_body_of_the_30S_subunit,0,0,51.50181434,40.41614495
Ga0401699_0001374_9818_10243_Belongs_to_the_small_heat_shock_protein_HSP20_family,535.6656443,677.3569197,738.9079751,276.0336708
Ga0401699_0001472_257_15277_axonemal_central_apparatus_assembly,136.6753863,151.003135,26.46621015,18.05827753
Ga0401699_0001473_1_5406_Astacin-like_metallo-endopeptidase_M12_family,118.848162,43.14375285,0,0
Ga0401699_0001511_13117_13863_divinyl_chlorophyllide_a_8-vinyl-reductase_activity,89.13612148,155.3175103,417.0216355,351.7064528
Ga0401699_0001524_6173_6754_Ribosomal_protein_S4/S9_N-terminal_domain,125.6394855,127.2740709,953.4988682,1071.4578
Ga0401699_0001525_5007_7499_Rho_guanyl-nucleotide_exchange_factor_activity,73.00672807,57.16547253,20.74378633,20.63803146
Ga0401699_0001548_35_15088_,50.93492656,35.5935961,15.02136251,17.19835955
Ga0401699_0001630_236_14773_axonemal_central_apparatus_assembly,73.00672807,69.03000456,1.430605954,6.019425843
Ga0401699_0001635_9211_13815_DNA-dependent_RNA_polymerase_catalyzes_the_transcription_of_DNA_into_RNA_using_the_four_ribonucleoside_triphosphates_as_substrates,5.942408098,7.550156749,61.51605601,68.79343821
Ga0401699_0001637_97_14304_negative_regulation_of_response_to_oxidative_stress,138.3732171,156.3961041,17.16727145,23.21778539
Ga0401699_0001655_2995_14784_Retinoschisin,78.94913616,100.3092254,7.868332746,12.03885169
Ga0401699_0001688_5102_14626_Phage_lysozyme,105.2655149,53.92969106,0,0
Ga0401699_0001762_175_13950_dynein_light_chain_binding,46.69034934,26.96484553,2.861211908,4.299589888
Ga0401699_0001774_116_14326_dynein_light_chain_binding,24.61854784,48.53672196,5.722423815,0.859917978
Ga0401699_0001836_1_14232_Thrombospondin_type_1_domain-containing_protein,211.3799452,133.7456338,5.007120838,9.459097753
Ga0401699_0001850_81_12554_,145.1645407,107.8593821,35.04984587,25.79753933
Ga0401699_0001856_2_14326_semaphorin-plexin_signaling_pathway,123.9416546,160.7104794,18.5978774,32.67688315
Ga0401699_0001879_86_14242_Cadherin_domain,107.8122612,88.44469334,0,4.299589888
Ga0401699_0001919_2_14188_Tumor_necrosis_factor_receptor_superfamily__member_1B,234.3006622,143.4529782,18.5978774,8.599179776
Ga0401699_0001932_224_13912_dynein_light_chain_binding,53.48167289,52.85109724,15.73666549,0.859917978
Ga0401699_0001958_1_14130_,1029.734432,970.7344391,104.4342346,78.25253596
Ga0401699_0001985_160_14010_1_heavy_chain_1,101.0209377,60.40125399,5.007120838,9.459097753
Ga0401699_0001993_402_13979_FG-GAP_repeat,49.23709567,56.0868787,2.861211908,4.299589888
Ga0401699_0002012_265_13998_dynein_light_chain_binding,141.7688789,128.3526647,12.16015061,6.019425843
Ga0401699_0002023_200_13975_dynein_light_chain_binding,114.6035848,103.5450068,11.44484763,5.159507865
Ga0401699_0002028_182_13939_dynein_light_chain_binding,177.4233275,186.5967311,35.04984587,24.93762135
Ga0401699_0002045_2251_2370_Cytochrome_C_and_Quinol_oxidase_polypeptide_I,110.3590075,262.0982986,27.18151312,26.65745731
Ga0401699_0002045_2431_2532_Cytochrome_c_oxidase_is_the_component_of_the_respiratory_chain_that_catalyzes_the_reduction_of_oxygen_to_water._Subunits_1-_3_form_the_functional_core_of_the_enzyme_complex._CO_I_is_the_catalytic_subunit_of_the_enzyme._Electrons_originating_in_cytochrome_c_are_transferred_via_the_copper_A_center_of_subunit_2_and_heme_A_of_subunit_1_to_the_bimetallic_center_formed_by_heme_A3_and_copper_B,185.0635665,284.7487688,45.06408754,26.65745731
Ga0401699_0002045_4724_5149_Component_of_the_ubiquinol-cytochrome_c_reductase_complex_complex_III_or_cytochrome_b-c1_complex__which_is_a_respiratory_chain_that_generates_an_electrochemical_potential_coupled_to_ATP_synthesis,213.9266915,405.5512768,52.21711731,38.69630899
Ga0401699_0002045_8932_9495_NDH-1_shuttles_electrons_from_NADH__via_FMN_and_iron-_sulfur_Fe-S_centers__to_quinones_in_the_respiratory_chain._The_immediate_electron_acceptor_for_the_enzyme_in_this_species_is_believed_to_be_ubiquinone._Couples_the_redox_reaction_to_proton_translocation_for_every_two_electrons_transferred__four_hydrogen_ions_are_translocated_across_the_cytoplasmic_membrane__and_thus_conserves_the_redox_energy_in_a_proton_gradient,36.50336403,56.0868787,9.2989387,15.4785236
Ga0401699_0002056_56_12655_homophilic_cell_adhesion_via_plasma_membrane_adhesion_molecules,66.21540452,38.82937756,0,0
Ga0401699_0002057_212_13855_dynein_light_chain_binding,123.0927392,104.6236007,24.32030121,24.93762135
Ga0401699_0002077_91_13761_dynein_light_chain_binding,168.0852576,149.9245412,25.75090717,24.93762135
Ga0401699_0002102_29_13873_leucine-rich_repeat_extensin-like_protein,239.3941548,101.3878192,0,1.719835955
Ga0401699_0002103_89_13921_Cadherin_domain,99.32310679,51.77250342,0,0
Ga0401699_0002104_179_13921_dynein_light_chain_binding,89.98503692,99.23063155,17.16727145,12.03885169
Ga0401699_0002111_36_13646_Protein_of_unknown_function_DUF3645,54.33058833,80.89453659,150.2136251,212.3997405
Ga0401699_0002148_85_13608_dynein_light_chain_binding,62.81974275,76.58016131,4.291817861,0.859917978
Ga0401699_0002203_3_13733_cytoskeletal_protein_binding,31.40987138,17.25750114,0,0
Ga0401699_0002213_219_13742_,73.00672807,45.30094049,3.576514884,3.43967191
Ga0401699_0002224_267_13352_positive_regulation_of_caveolin-mediated_endocytosis,44.99251846,50.6939096,2.145908931,2.579753933
Ga0401699_0002258_148_13479_pyrroloquinoline_quinone_binding,25.46746328,33.43640846,2.145908931,5.159507865
Ga0401699_0002281_221_13630_dynein_light_chain_binding,83.19371338,39.90797139,0.715302977,6.019425843
Ga0401699_0002299_77_13489_dynein_light_chain_binding,112.9057539,83.05172424,6.437726792,9.459097753
Ga0401699_0002334_4566_6593_OmpA_family,26.31637872,33.43640846,209.5837722,148.7658101
Ga0401699_0002371_44_13348_Thrombospondin_type_1_repeats,812.4120786,874.739589,109.4413555,174.5633494
Ga0401699_0002448_186_13346_Source_PGD,90.83395236,49.61531578,2.861211908,3.43967191
Ga0401699_0002467_6612_7886_protein_transport,11.8848162,10.78593821,79.39863044,45.57565281
Ga0401699_0002564_50_12946_dynein_light_chain_binding,46.69034934,31.27922082,0.715302977,1.719835955
Ga0401699_0002572_180_13052_dynein_light_chain_binding,50.93492656,43.14375285,6.437726792,1.719835955
Ga0401699_0002577_2_12994_dynein_light_chain_binding,30.56095593,35.5935961,0.715302977,1.719835955
Ga0401699_0002598_276_5234_dynein_heavy_chain._Source_PGD,28.01420961,28.04343935,3.576514884,3.43967191
Ga0401699_0002598_5192_12976_dynein_heavy_chain._Source_PGD,33.10770226,31.27922082,2.145908931,0
Ga0401699_0002654_443_13030_Fibronectin_type_3_domain,55.17950377,52.85109724,1.430605954,0
Ga0401699_0002782_3_12848_cytoskeletal_protein_binding,101.0209377,72.26578602,5.722423815,4.299589888
Ga0401699_0002797_169_12705_dynein_light_chain_binding,37.35227948,57.16547253,5.007120838,3.43967191
Ga0401699_0002811_242_12685_dynein_light_chain_binding,87.43829059,98.15203773,9.2989387,3.43967191
Ga0401699_0002829_11643_12260_Belongs_to_the_complex_I_subunit_6_family,57.7262501,84.13031806,0,0
Ga0401699_0002829_1277_1939_One_of_the_primary_rRNA_binding_proteins__it_binds_directly_to_16S_rRNA_where_it_nucleates_assembly_of_the_body_of_the_30S_subunit,11.8848162,8.62875057,0,0
Ga0401699_0002829_1940_2560_Belongs_to_the_universal_ribosomal_protein_uS2_family,11.8848162,10.78593821,0,0
Ga0401699_0002829_3_1148_NDH-1_shuttles_electrons_from_NADH__via_FMN_and_iron-_sulfur_Fe-S_centers__to_quinones_in_the_respiratory_chain._The_immediate_electron_acceptor_for_the_enzyme_in_this_species_is_believed_to_be_ubiquinone._Couples_the_redox_reaction_to_proton_translocation_for_every_two_electrons_transferred__four_hydrogen_ions_are_translocated_across_the_cytoplasmic_membrane__and_thus_conserves_the_redox_energy_in_a_proton_gradient,60.27299643,70.10859838,0.715302977,0.859917978
Ga0401699_0002829_5406_6878_Core_subunit_of_the_mitochondrial_membrane_respiratory_chain_NADH_dehydrogenase_Complex_I_that_is_believed_to_belong_to_the_minimal_assembly_required_for_catalysis._Complex_I_functions_in_the_transfer_of_electrons_from_NADH_to_the_respiratory_chain._The_immediate_electron_acceptor_for_the_enzyme_is_believed_to_be_ubiquinone_By_similarity,111.207923,149.9245412,2.861211908,0
Ga0401699_0002829_9453_11579_NADH_dehydrogenase_NADH_ubiquinone_oxidoreductase_75_kD_subunit_chain_G,201.1929599,197.3826693,1.430605954,4.299589888
Ga0401699_0002875_189_9872_metalloendopeptidase_activity,999.173476,716.1862973,168.0961996,165.1042517
Ga0401699_0002939_181_12378_dynein_light_chain_binding,122.2438237,125.1168833,17.88257442,24.07770337
Ga0401699_0002981_148_12339_Dynein_heavy_chain._Source_PGD,51.783842,52.85109724,5.007120838,6.879343821
Ga0401699_0003035_361_12390_P-loop_containing_dynein_motor_region_D4,47.53926479,50.6939096,7.868332746,6.019425843
Ga0401699_0003067_1515_3452_Acts_as_a_processive__ATP-dependent_zinc_metallopeptidase_for_both_cytoplasmic_and_membrane_proteins._Plays_a_role_in_the_quality_control_of_integral_membrane_proteins,101.0209377,94.91625627,119.4555971,146.1860562
Ga0401699_0003079_132_12362_,102.7187686,60.40125399,0.715302977,0
Ga0401699_0003192_13_12273_ATPase_activity,12.73373164,20.4932826,3.576514884,0.859917978
Ga0401699_0003268_2_12169_MAC/Perforin_domain,169.7830885,94.91625627,21.45908931,6.019425843
Ga0401699_0003342_3_9245_negative_regulation_of_phosphatase_activity,81.49588249,57.16547253,8.583635723,6.019425843
